id,chart_week_id,rank,rank_change,points,points_change_pct,peak,woc,sales,sales_share_pct,streams,streams_share_pct,airplay,airplay_share_pct,units,song_id,created_at
1,1,1,0,224,-5.0,1,25,5500,2.0,19500000,58.0,70700000,40.0,131200,1,2025-08-20 02:55:04
2,1,2,0,220,15.0,2,6,5000,2.0,29400000,95.0,4900000,3.0,212000,2,2025-08-20 02:55:04
3,1,3,1,167,-3.0,1,11,2000,1.0,19800000,82.0,22700000,17.0,134200,3,2025-08-20 02:55:04
4,1,4,-1,154,-12.0,2,3,2500,2.0,17500000,85.0,16700000,14.0,131000,4,2025-08-20 02:55:04
5,1,5,0,146,-5.0,2,19,1500,1.0,15700000,73.0,30500000,26.0,103800,5,2025-08-20 02:55:04
6,1,6,0,141,-1.0,6,18,800,1.0,12800000,62.0,42100000,37.0,87900,6,2025-08-20 02:55:04
7,1,7,0,140,-1.0,1,102,2000,2.0,16000000,68.0,33900000,30.0,90500,7,2025-08-20 02:55:04
8,1,8,0,138,-2.0,1,68,2500,2.0,13500000,63.0,39300000,36.0,84300,8,2025-08-20 02:55:04
9,1,9,3,137,2.0,9,6,2000,1.0,19200000,98.0,300000,0.0,136200,9,2025-08-20 02:55:04
10,1,10,0,136,-1.0,1,50,1500,1.0,10800000,52.0,50200000,47.0,70000,10,2025-08-20 02:55:04
11,1,11,0,133,-2.0,2,26,1500,1.0,16000000,79.0,21200000,20.0,101400,11,2025-08-20 02:55:04
12,1,12,-3,130,-5.0,1,36,600,0.0,10700000,54.0,47800000,46.0,67700,12,2025-08-20 02:55:04
13,1,13,0,129,1.0,1,8,1000,1.0,11500000,63.0,37600000,37.0,79800,13,2025-08-20 02:55:04
14,1,14,0,121,-3.0,2,79,2000,2.0,12800000,68.0,29800000,31.0,79900,14,2025-08-20 02:55:04
15,1,15,6,120,7.0,15,5,2000,2.0,16200000,98.0,0,0.0,119700,15,2025-08-20 02:55:04
16,1,16,-1,119,-3.0,4,59,3000,2.0,10400000,60.0,35500000,37.0,73200,16,2025-08-20 02:55:04
17,1,17,2,117,17.0,17,5,1500,1.0,16000000,99.0,0,0.0,116900,17,2025-08-20 02:55:04
18,1,18,4,115,4.0,18,36,1500,1.0,7600000,40.0,54200000,59.0,43000,18,2025-08-20 02:55:04
19,1,19,0,115,,19,1,1500,2.0,14400000,95.0,3100000,3.0,110400,19,2025-08-20 02:55:04
20,1,20,0,115,1.0,12,26,600,1.0,8800000,53.0,42600000,46.0,60000,20,2025-08-20 02:55:04
21,1,21,0,113,,21,4,4000,4.0,14500000,95.0,900000,1.0,110600,21,2025-08-20 02:55:04
