song_id,artist_id,role
1,1,primary
2,2,primary
2,3,primary
2,4,primary
2,5,primary
2,6,primary
3,7,primary
3,8,primary
4,9,primary
5,7,primary
6,11,primary
7,12,primary
8,13,primary
9,14,primary
9,15,primary
9,16,primary
9,17,primary
10,18,primary
10,19,primary
11,7,primary
12,21,primary
12,22,primary
13,23,primary
14,24,primary
15,14,primary
15,26,primary
15,15,primary
15,17,primary
16,29,primary
17,2,primary
17,3,primary
17,4,primary
17,5,primary
17,6,primary
18,13,primary
19,36,primary
19,37,primary
20,38,primary
21,7,primary
21,40,primary
21,41,primary
22,42,primary
22,7,primary
23,44,primary
24,7,primary
25,24,primary
26,24,primary
27,48,primary
27,3,primary
27,50,primary
27,15,primary
27,6,primary
28,3,primary
28,5,primary
28,4,primary
28,2,primary
28,6,primary
29,58,primary
29,59,primary
30,36,primary
31,61,primary
32,61,primary
33,63,primary
34,4,primary
34,5,primary
34,2,primary
34,3,primary
34,6,primary
35,59,primary
35,70,primary
36,22,primary
36,21,primary
37,36,primary
38,9,primary
39,70,primary
40,76,primary
41,77,primary
42,78,primary
42,79,primary
43,80,primary
44,81,primary
45,82,primary
46,7,primary
47,84,primary
47,19,primary
48,76,primary
49,87,primary
50,1,primary
51,81,primary
52,7,primary
53,91,primary
54,92,primary
55,93,primary
55,94,primary
55,95,primary
55,96,primary
56,44,primary
57,81,primary
57,99,primary
57,100,primary
58,8,primary
59,102,primary
60,7,primary
60,42,primary
61,105,primary
62,106,primary
63,107,primary
63,108,primary
63,109,primary
64,81,primary
64,111,primary
65,13,primary
65,113,primary
66,114,primary
67,115,primary
68,116,primary
69,117,primary
70,7,primary
71,119,primary
72,120,primary
73,81,primary
74,115,primary
75,123,primary
75,124,primary
76,1,primary
76,113,primary
77,7,primary
78,128,primary
79,129,primary
80,130,primary
81,131,primary
82,81,primary
82,133,primary
83,134,primary
84,135,primary
84,136,primary
85,137,primary
86,138,primary
87,139,primary
88,9,primary
89,138,primary
90,142,primary
91,143,primary
92,8,primary
93,81,primary
94,146,primary
94,147,primary
95,81,primary
96,146,primary
97,81,primary
98,151,primary
99,82,primary
99,153,primary
100,154,primary
101,29,primary
102,249,primary
103,77,primary
103,262,primary
104,117,primary
104,280,primary
105,117,primary
105,280,primary
106,135,primary
106,136,primary
107,151,primary
108,296,primary
109,249,primary
110,249,primary
111,301,primary
111,302,primary
112,61,primary
113,106,primary
114,306,primary
