id,title,canonical_artists
1,Ordinary,alex warren
2,Golden,audrey nuna|ejae|huntr/x|kpop demon hunters|rei ami
3,What I Want,morgan wallen|tate mcrae
4,Daisies,justin bieber
5,Just In Case,morgan wallen
6,Love Me Not,ravyn lenae
7,Lose Control,teddy swims
8,A Bar Song (Tipsy),shaboozey
9,Your Idol,andrew choi|danny chung|neckwav|saja boys
10,Die With A Smile,bruno mars|lady gaga
11,I'm The Problem,morgan wallen
12,Luther,kendrick lamar|sza
13,Manchild,sabrina carpenter
14,Beautiful Things,benson boone
15,Soda Pop,andrew choi|danny chung|saja boys|samuil lee
16,Pink Pony Club,chappell roan
17,How It's Done,audrey nuna|ejae|huntr/x|kpop demon hunters|rei ami
18,Good News,shaboozey
19,Which One,central cee|drake
20,Mutt,leon thomas
21,Miami,lil wayne|morgan wallen|rick ross
22,I Had Some Help,morgan wallen|post malone
23,Birds Of A Feather,billie eilish
24,I Got Better,morgan wallen
25,Mystical Magical,benson boone
26,Sorry I'm Here For Someone Else,benson boone
27,Free,andrew choi|ejae|jinu|kpop demon hunters|rumi
28,What It Sounds Like,audrey nuna|ejae|huntr/x|kpop demon hunters|rei ami
29,All The Way,bailey zimmerman|bigxthaplug
30,What Did I Miss?,drake
31,Undressed,sombr
32,Back To Friends,sombr
33,Blue Stripes,jessie murph
34,Takedown,audrey nuna|ejae|huntr/x|kpop demon hunters|rei ami
35,Backup Plan,bailey zimmerman|luke combs
36,30 For 30,kendrick lamar|sza
37,Nokia,drake
38,Yukon,justin bieber
39,Back In The Saddle,luke combs
40,Crazy Train,ozzy osbourne
41,Burning Blue,mariah the scientist
42,It Depends,bryson tiller|chris brown
43,After All The Bars Are Closed,thomas rhett
44,Ring Ring Ring,"tyler, the creator"
45,Worst Way,riley green
46,Love Somebody,morgan wallen
47,APT.,bruno mars|rose
48,"Mama, I'm Coming Home",ozzy osbourne
49,Happen To Me,russell dickerson
50,Eternity,alex warren
51,Sugar On My Tongue,"tyler, the creator"
52,20 Cigarettes,morgan wallen
53,6 Months Later,megan moroney
54,Folded,kehlani
55,Shake It To The Max (Fly),molly|shenseea|silent addy|skillibeng
56,Wildflower,billie eilish
57,Big Poe,"pharrell williams|sk8br|tyler, the creator"
58,Just Keep Watching,tate mcrae
59,Outside,cardi b
60,I Ain't Comin' Back,morgan wallen|post malone
61,Jump,blackpink
62,Better Me For You (Brown Eyes),max mcnown
63,Bottle Rockets,hootie|scotty mccreery|the blowfish
64,I'll Take Care Of You,"tyler, the creator|yebba"
65,Amen,jelly roll|shaboozey
66,Fix What You Didn't Break,nate smith
67,Takedown,twice
68,House Again,hudson westbrook
69,Your Way's Better,forrest frank
70,Superman,morgan wallen
71,Twilight Zone,ariana grande
72,Party 4 U,charli xcx
73,Sucka Free,"tyler, the creator"
74,Strategy,twice
75,No Broke Boys,disco lines|tinashe
76,Bloodline,alex warren|jelly roll
77,TN,morgan wallen
78,Hard Fought Hallelujah,brandon lake
79,Sparks,coldplay
80,Bar None,jordan davis
81,Went Legit,g herbo
82,Don't You Worry Baby,"madison mcferrin|tyler, the creator"
83,Park,tyler hubbard
84,I AM MEE,playboi carti|the weeknd
85,Somewhere Over Laredo,lainey wilson
86,EOO,bad bunny
87,Frecuencia,los dareyes de la sierra
88,Go Baby,justin bieber
89,Nuevayol,bad bunny
90,Typa,glorilla
91,Nice To Meet You,myles smith
92,Revolving Door,tate mcrae
93,Stop Playing With Me,"tyler, the creator"
94,Madeline,gabriella rose|zach bryan
95,Mommaenn,"tyler, the creator"
96,River Washed Hair,zach bryan
97,Don't Tap The Glass / Tweakin',"tyler, the creator"
98,Tu Sancho,fuerza regida
99,Don't Mind If I Do,ella langley|riley green
100,Kick Out,travis scott
101,The Subway,chappell roan
102,Napoleon,$uicideboy$
103,Is It A Crime,kali uchis|mariah the scientist
104,TNN,forrest frank|the figs
105,Lemonade,forrest frank|the figs
106,Rather Lie,playboi carti|the weeknd
107,Marlboro Rojo,fuerza regida
108,So Far So Fake,pierce the veil
109,Count Your Blessings,$uicideboy$
110,Oh What A Wretched Man I Am!,$uicideboy$
111,Whim Whamiee,pluto|yk niece
112,12 To 12,sombr
113,A Lot More Free,max mcnown
114,Somebody,latto
