song_id,title,canonical_artists,first_appearance,peak_rank,weeks_on_chart,avg_points
1,Ordinary,Alex Warren,2025-08-09,1,25,224
2,Golden,"Huntr/X, Ejae, Audrey Nuna, REI Ami & Kpop Demon Hunters",2025-08-09,2,6,220
3,What I Want,"Morgan Wallen feat. Tate McRae",2025-08-09,1,11,167
4,Daisies,Justin Bieber,2025-08-09,2,3,154
5,Just In Case,Morgan Wallen,2025-08-09,2,19,146
6,Love Me Not,Ravyn Lenae,2025-08-09,6,18,141
7,Lose Control,Teddy Swims,2025-08-09,1,102,140
8,A Bar Song (Tipsy),Shaboozey,2025-08-09,1,68,138
9,Your Idol,"Saja Boys, Andrew Choi, neckwav, Danny Chung",2025-08-09,9,6,137
10,Die With A Smile,"Lady Gaga & Bruno Mars",2025-08-09,1,50,136
11,I'm The Problem,Morgan Wallen,2025-08-09,2,26,133
12,Luther,"Kendrick Lamar & SZA",2025-08-09,1,36,130
13,Manchild,Sabrina Carpenter,2025-08-09,1,8,129
14,Beautiful Things,Benson Boone,2025-08-09,2,79,121
15,Soda Pop,"Saja Boys, Samuel Lee, Andrew Choi, Danny Chung",2025-08-09,15,5,120
16,Pink Pony Club,Chappell Roan,2025-08-09,4,59,119
17,How It's Done,"Huntr/X, Ejae, Audrey Nuna, REI Ami, Kpop Demon Hunters",2025-08-09,17,5,117
18,Good News,Shaboozey,2025-08-09,18,36,115
19,Which One,"Drake feat. Central Cee",2025-08-09,19,1,115
20,Mutt,Leon Thomas,2025-08-09,12,26,115
21,Miami,"Morgan Wallen, Lil Wayne, & Rick Ross",2025-08-09,21,4,113
22,I Had Some Help,"Post Malone feat. Morgan Wallen",2025-08-09,1,64,111
23,Birds Of A Feather,Billie Eilish,2025-08-09,2,63,110
24,I Got Better,Morgan Wallen,2025-08-09,7,11,103
25,Mystical Magical,Benson Boone,2025-08-09,17,14,102
26,Sorry I'm Here For Someone Else,Benson Boone,2025-08-09,19,22,95
27,Free,"Jinu, Ejae, Rumi, Andrew Choi, Kpop Demon Hunters",2025-08-09,27,5,94
28,What It Sounds Like,"Ejae, Rei Ami, Audrey Nuna, Huntr/X, Kpop Demon Hunters",2025-08-09,28,5,94
